openalex_id,display_name,wikidata_id
I76835614,University of Missouri,https://www.wikidata.org/wiki/Q579968
I12524447,Seton Hall University,https://www.wikidata.org/wiki/Q585828
I83328450,Miami University,https://www.wikidata.org/wiki/Q590643
I72951846,Washington State University,https://www.wikidata.org/wiki/Q597236
I102179633,New School,https://www.wikidata.org/wiki/Q599316
I162817326,Indiana University – Purdue University Fort Wayne,https://www.wikidata.org/wiki/Q6023669
I72816309,Drexel University,https://www.wikidata.org/wiki/Q603034
I58610484,Seattle University,https://www.wikidata.org/wiki/Q615873
I70571728,Oberlin College,https://www.wikidata.org/wiki/Q616591
I70983195,Syracuse University,https://www.wikidata.org/wiki/Q617433
I858669146,Jefferson College,https://www.wikidata.org/wiki/Q6175404
I430192,Appalachian State University,https://www.wikidata.org/wiki/Q620640
I150468666,Emory University,https://www.wikidata.org/wiki/Q621043
I186143895,Lehigh University,https://www.wikidata.org/wiki/Q622137
I175594653,John Brown University,https://www.wikidata.org/wiki/Q6223569
I36258959,University of California San Diego,https://www.wikidata.org/wiki/Q622664
I44854399,University of Southern Mississippi,https://www.wikidata.org/wiki/Q624090
I192389796,Humboldt State University,https://www.wikidata.org/wiki/Q624560
I39815113,Georgia Southern University,https://www.wikidata.org/wiki/Q624959
I153871386,Eastern Illinois University,https://www.wikidata.org/wiki/Q624985
I208333798,University of Missouri–St. Louis,https://www.wikidata.org/wiki/Q625103
I119942576,University of the Pacific,https://www.wikidata.org/wiki/Q630226
I8078737,Clemson University,https://www.wikidata.org/wiki/Q631066
I96749437,Texas A&M University Corpus Christi,https://www.wikidata.org/wiki/Q634651
I119443389,East Tennessee State University,https://www.wikidata.org/wiki/Q634669
I39965400,Kettering University,https://www.wikidata.org/wiki/Q6395480
I8692664,University of Oklahoma,https://www.wikidata.org/wiki/Q640652
I111483173,King University,https://www.wikidata.org/wiki/Q6412129
I2802706902,Knoxville College,https://www.wikidata.org/wiki/Q6423659
I55921689,La Roche College,https://www.wikidata.org/wiki/Q6464919
I859038795,Virginia Tech,https://www.wikidata.org/wiki/Q65379
I108468826,Stevens Institute of Technology,https://www.wikidata.org/wiki/Q657222
I83683471,University of West Florida,https://www.wikidata.org/wiki/Q659255
I180949307,Illinois Institute of Technology,https://www.wikidata.org/wiki/Q659706
I592451,Indiana University,https://www.wikidata.org/wiki/Q6608367
I86420138,Indiana State University,https://www.wikidata.org/wiki/Q666128
I134386540,Louisiana State University Agricultural Center,https://www.wikidata.org/wiki/Q6689301
I55732556,Arizona State University,https://www.wikidata.org/wiki/Q670897
I87253917,Manchester University,https://www.wikidata.org/wiki/Q6747552
I204308271,Medical College of Wisconsin,https://www.wikidata.org/wiki/Q6806307
I153297377,Medical University of South Carolina,https://www.wikidata.org/wiki/Q6806451
I63190737,University at Buffalo State University of New York,https://www.wikidata.org/wiki/Q681025
I4210099336,Menlo School,https://www.wikidata.org/wiki/Q6817158
I128902783,Midwestern University,https://www.wikidata.org/wiki/Q6843477
I6332465,Morehouse School of Medicine,https://www.wikidata.org/wiki/Q6911272
I139924743,Bentley University,https://www.wikidata.org/wiki/Q693674
I95240055,Northeast Ohio Medical University,https://www.wikidata.org/wiki/Q7057949
I4210131712,Oklahoma State University Oklahoma City,https://www.wikidata.org/wiki/Q7082388
I177881444,Pomona College,https://www.wikidata.org/wiki/Q7227384
I47838141,Saint Louis University,https://www.wikidata.org/wiki/Q734774
I79272384,University of Maryland Baltimore County,https://www.wikidata.org/wiki/Q735049
I188538660,University of Colorado Boulder,https://www.wikidata.org/wiki/Q736674
I189273616,Rosalind Franklin University of Medicine and Science,https://www.wikidata.org/wiki/Q7367225
I145608581,University of Miami,https://www.wikidata.org/wiki/Q738258
I130769515,Pennsylvania State University,https://www.wikidata.org/wiki/Q739627
I9364636,Salisbury University,https://www.wikidata.org/wiki/Q7404818
I165102784,Duquesne University,https://www.wikidata.org/wiki/Q74343
I162281398,University of Hartford,https://www.wikidata.org/wiki/Q747053
I2800717037,University of Florida Health,https://www.wikidata.org/wiki/Q7487946
I115475287,Oklahoma State University,https://www.wikidata.org/wiki/Q749718
I49886154,Rush University,https://www.wikidata.org/wiki/Q750639
I196729704,Southern Illinois University School of Medicine,https://www.wikidata.org/wiki/Q7570024
I157349981,SUNY College of Environmental Science and Forestry,https://www.wikidata.org/wiki/Q7603610
I165733156,University of Georgia,https://www.wikidata.org/wiki/Q761534
I174216632,City University of New York,https://www.wikidata.org/wiki/Q762266
I181233156,University of Oregon,https://www.wikidata.org/wiki/Q766145
I2801004183,Temple College,https://www.wikidata.org/wiki/Q7698504
I63920570,Tennessee Technological University,https://www.wikidata.org/wiki/Q7700206
I114493937,Creighton University,https://www.wikidata.org/wiki/Q770544
I181414168,Texas A&M University Kingsville,https://www.wikidata.org/wiki/Q7707478
I64281891,College of New Jersey,https://www.wikidata.org/wiki/Q7726772
I204465549,Washington University in St. Louis,https://www.wikidata.org/wiki/Q777403
I177721651,Oakland University,https://www.wikidata.org/wiki/Q782116
I4210153792,University School,https://www.wikidata.org/wiki/Q7894916
I6059380,University of Baltimore,https://www.wikidata.org/wiki/Q7895109
I135191193,University of Indianapolis,https://www.wikidata.org/wiki/Q7895554
